No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
220,서울,경제와사회,대학(전체),김지영,"310관 B602호 <대형강의실> 목1,2,3"
221,서울,경제학개론(1),경영경제대학경제학부(서울),이정희,"310관 310호 <강의실> 금1,2,3"
222,서울,경제학개론(1),경영경제대학경제학부(서울),진현정,310관 926호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
223,서울,경제학개론(1),경영경제대학경제학부(서울),정혁,310관 926호 <강의실> 화(13:30~14:45) / 목(13:30~14:45)
224,서울,경제학개론(1),경영경제대학경제학부(서울),강상구,"310관 611호 <강의실> 금7,8,9"
225,서울,경제학개론(2),경영경제대학경제학부(서울),김배근,310관 722호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
226,서울,경제학개론(2),경영경제대학경제학부(서울),강상구,"310관 412호 <강의실> 금1,2,3"
227,서울,경제학연습,경영경제대학경제학부(서울),이정희,310관 927호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
228,서울,경제학원론,경영경제대학응용통계학과,유만식,"310관 412호 <강의실> 화1,2,3"
229,서울,경제학원론,경영경제대학경영학부(서울),민병현,"310관 305호 <강의실> 목1,2,3"
230,서울,경제학원론,경영경제대학경영학부(서울),민병현,"310관 305호 <강의실> 수4,5,6"
231,서울,경제학원론,경영경제대학경영학부(서울),신종섭,"310관 305호 <강의실> 수7,8,9"
232,서울,경제학원론,경영경제대학경영학부(서울),정태규,"310관 305호 <강의실> 수1,2,3"
233,서울,경제학원론,경영경제대학경영학부(서울),조태형,"310관 305호 <강의실> 월7,8,9"
234,서울,경제학원론,경영경제대학국제물류 학과,유만식,"310관 310호 <강의실> 목1,2,3"
235,서울,경제학원론,경영경제대학국제물류 학과,제관추,310관 305호 <강의실> 화(15:00~16:15) / 목(15:00~16:15)
236,서울,경제학원론,경영경제대학지식경영학부,조영권,"310관 605호 <강의실> 월11,12,13"
237,서울,경제학원론,경영경제대학지식경영학부,조영권,"310관 721호 <강의실> 수11,12,13"
238,서울,경제학원론,경영경제대학지식경영학부,강승복,"310관 920호 <강의실> 금11,12,13"
239,서울,경제학원론,경영경제대학지식경영학부,오경희,"310관 505호 <강의실> 월11,12,13"
240,서울,계량경영론,대학원경영학과,윤지호,"310관 502호 <강의실> 금11,12,13"
241,서울,계량경제학,경영경제대학경제학부(서울),이광훈,310관 611호 <강의실> 월(10:30~11:45) / 수(10:30~11:45)
242,서울,계량경제학,경영경제대학경제학부(서울),송원호,310관 310호 <강의실> 화(13:30~14:45) / 목(13:30~14:45)
243,서울,계량경제학,경영경제대학경제학부(서울),최용옥,310관 611호 <강의실> 월(13:30~14:45) / 수(13:30~14:45)
244,서울,계약과법,대학(전체),유충호,"310관 B603호 <대형강의실> 목1,2,3"
245,서울,고급바이오분석,대학원융합공학과,김태형,"310관 731호 <강의실> 화4,5,6"
246,서울,고급재무회계,경영경제대학경영학부(서울),전영순,310관 603호 <강의실> 화(16:30~17:45) / 목(16:30~17:45)
247,서울,고체역학,공과대학에너지시스템 공학부,양승화,310관 419호 <강의실> 월(15:00~16:15) / 수(15:00~16:15)
248,서울,고체역학(1),공과대학기계공학부,김승한,"310관 517호 <강의실> 월6 / 수5,6"
249,서울,고체역학(1),공과대학기계공학부,윤기봉,"310관 514호 <강의실> 월6 / 수5,6"
250,서울,고체역학(1),공과대학기계공학부,이상민,"310관 417호 <강의실> 월6 / 수5,6"
251,서울,고체역학(1),공과대학기계공학부,조민행,"310관 418호 <강의실> 월6 / 수5,6"
252,서울,공간계획과프로그래밍,공과대학건축학부,황세원,"310관 523호 <강의실> 화1,2,3"
253,서울,공감의 심리학,창의ICT공과대학융합교양학부,이현정,"310관 622호 <강의실> 월7,8"
254,서울,공공기관NCS분석,대학(전체),인재개발원,"310관 B501호 <대형강의실> 목3,4"
255,서울,공급사슬관리,경영경제대학경영학부(서울),서용원,310관 925호 <강의실> 월(15:00~16:15) / 수(15:00~16:15)
256,서울,공급사슬관리,경영경제대학경영학부(서울),박정수,310관 803호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
257,서울,공급사슬관리,경영경제대학경영학부(서울),박정수,310관 801호 <강의실> 화(15:00~16:15) / 목(15:00~16:15)
258,서울,공업수학(1),공과대학화학신소재공학부,남인호,"310관 316호 <강의실> 화1,2 / 목2"
259,서울,공업수학(1),공과대학화학신소재공학부,남인호,"310관 514호 <강의실> 화4 / 목3,4"
260,서울,공업수학(1),공과대학기계공학부,김승한,"310관 514호 <강의실> 월3,4 / 수3"
261,서울,공업수학(1),공과대학기계공학부,조성욱,"310관 520호 <강의실> 월3,4 / 수3"
262,서울,공업수학(1),공과대학기계공학부,이성원,"310관 418호 <강의실> 월3,4 / 수3"
263,서울,공업수학(1),공과대학기계공학부,요르그볼프,"310관 519호 <강의실> 월3,4 / 수3"
264,서울,공업수학및연습(1),공과대학사회기반시스템공학부,박종웅,"310관 417호 <강의실> 수1,2,3,4"
265,서울,공학물리,공과대학건축학부,이차돈,"310관 521호 <강의실> 금6,7,8"
266,서울,과학기술과현대사회,대학(전체),김광호,"310관 B602호 <대형강의실> 월7,8,9"
267,서울,과학기술과현대사회,대학(전체),김광호,"310관 B602호 <대형강의실> 월1,2,3"
